3in2;12
4in2;13
5in2;14-23
6in2;15-24
7in2;16-25-34
8in2;17-26-35
9in2;18-27-36-45
10in2;19-28-37-46
11in2;29-38-47-56
12in2;39-48-57
13in2;49-58-67
14in2;59-68
15in2;69-78
16in2;79
17in2;89
6in3;123
7in3;124
8in3;125-134
9in3;126-135-234
10in3;127-136-145-235
11in3;128-137-146-236-245
12in3;129-138-147-156-237-246-345
13in3;139-148-157-238-247-256-346
14in3;149-158-167-239-248-257-347-356
15in3;159-168-249-258-267-348-357-456
16in3;169-178-259-268-349-358-367-457
17in3;179-269-278-359-368-458-467
18in3;189-279-369-378-459-468-567
19in3;289-379-469-478-568
20in3;389-479-569-578
21in3;489-579-678
22in3;589-679
23in3;689
24in3;789
10in4;1234
11in4;1235
12in4;1236-1245
13in4;1237-1246-1345
14in4;1238-1247-1256-1346-2345
15in4;1239-1248-1257-1347-1356-2346
16in4;1249-1258-1267-1348-1357-1456-2347-2356
17in4;1259-1268-1349-1358-1367-1457-2348-2357-2456
18in4;1269-1278-1359-1368-1458-1467-2349-2358-2367-2457-3456
19in4;1279-1369-1378-1459-1468-1567-2359-2368-2458-2467-3457
20in4;1289-1379-1469-1478-1568-2369-2378-2459-2468-2567-3458-3467
21in4;1389-1479-1569-1578-2379-2469-2478-2568-3459-3468-3567
22in4;1489-1579-1678-2389-2479-2569-2578-3469-3478-3568-4567
23in4;1589-1679-2489-2579-2678-3479-3569-3578-4568
24in4;1689-2589-2679-3489-3579-3678-4569-4578
25in4;1789-2689-3589-3679-4579-4678
26in4;2789-3689-4589-4679-5678
27in4;3789-4689-5679
28in4;4789-5689
29in4;5789
30in4;6789
16in5;12346
17in5;12347-12356
18in5;12348-12357-12456
19in5;12349-12358-12367-12457-13456
20in5;12359-12368-12458-12467-13457-23456
21in5;12369-12378-12459-12468-12567-13458-13467-23457
22in5;12379-12469-12478-12568-13459-13468-13567-23458-23467
23in5;12389-12479-12569-12578-13469-13478-13568-14567-23459-23468-23567
24in5;12489-12579-12678-13479-13569-13578-14568-23469-23478-23568-24567
25in5;12589-12679-13489-13579-13678-14569-14578-23479-23569-23578-24568-34567
26in5;12689-13589-13679-14579-14678-23489-23579-23678-24569-24578-34568
27in5;12789-13689-14589-14679-15678-23589-23679-24579-24678-34569-34578
28in5;13789-14689-15679-23689-24589-24679-25678-34579-34678
29in5;14789-15689-23789-24689-25679-34589-34679-35678
30in5;15789-24789-25689-34689-35679-45678
31in5;16789-25789-34789-35689-45679
32in5;26789-35789-45689
33in5;36789-45789
34in5;46789
35in5;56789
21in6;123456
22in6;123457
23in6;123458-123467
24in6;123459-123468-123567
25in6;123469-123478-123568-124567
26in6;123479-123569-123578-124568-134567
27in6;123489-123579-123678-124569-124578-134568-234567
28in6;123589-123679-124579-124678-134569-134578-234568
29in6;123689-124589-124679-125678-134579-134678-234569-234578
30in6;123789-124689-125679-134589-134679-135678-234579-234678
31in6;124789-125689-134689-135679-145678-234589-234679-235678
32in6;125789-134789-135689-145679-234689-235679-245678
33in6;126789-135789-145689-234789-235689-245679-345678
34in6;136789-145789-235789-245689-345679
35in6;146789-236789-245789-345689
36in6;156789-246789-345789
37in6;256789-346789
38in6;356789
39in6;456789
28in7;1234567
29in7;1234568
30in7;1234569-1234578
31in7;1234579-1234678
32in7;1234589-1234679-1235678
33in7;1234689-1235679-1245678
34in7;1234789-1235689-1245679-1345678
35in7;1235789-1245689-1345679-2345678
36in7;1236789-1245789-1345689-2345679
37in7;1246789-1345789-2345689
38in7;1256789-1346789-2345789
39in7;1356789-2346789
40in7;1456789-2356789
41in7;2456789
42in7;3456789
36in8;12345678
37in8;12345679
38in8;12345689
39in8;12345789
40in8;12346789
41in8;12356789
42in8;12456789
43in8;13456789
44in8;23456789
45in9;123456789
